Updated On,State,Total Doses Administered,18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
27-04-2021,Kerala,7106942,616768,2255283,3074625,,,,5947361
28-04-2021,Kerala,7144083,617376,2268382,3081442,,,,5967887
29-04-2021,Kerala,7229177,618567,2292415,3095020,,,,6006391
30-04-2021,Kerala,7376934,620532,2318284,3112082,,,,6051350
01-05-2021,Kerala,7425416,621053,2329584,3118636,,,,6069726
02-05-2021,Kerala,7426176,619769,2331017,3118641,,,,6069760
03-05-2021,Kerala,7511454,620875,2343224,3127917,,,,6092349
04-05-2021,Kerala,7577304,621803,2353344,3134926,,,,6110419
05-05-2021,Kerala,7600484,622368,2358023,3137621,,,,6118358
06-05-2021,Kerala,7705285,623864,2367398,3146378,,,,6137985
07-05-2021,Kerala,7869269,626402,2381677,3160352,,,,6168780
08-05-2021,Kerala,7951983,628571,2390586,3167770,,,,6187280
09-05-2021,Kerala,7952556,628575,2390835,3167889,,,,6187652
10-05-2021,Kerala,8066700,630925,2405009,3180345,,,,6216882
11-05-2021,Kerala,8141289,632656,2415549,3189813,,,,6238776
12-05-2021,Kerala,8185506,633909,2425732,3196542,,,,6257014
13-05-2021,Kerala,8212961,635136,2431388,3200126,,,,6267551
14-05-2021,Kerala,8259812,636611,2444930,3207813,,,,6290354
15-05-2021,Kerala,8417840,640420,2527786,3256481,,,,6426197
16-05-2021,Kerala,8451480,642438,2545465,3264646,,,,6454137
17-05-2021,Kerala,8519852,645424,2576386,3287242,,,,6510777
18-05-2021,Kerala,8573567,649389,2602358,3303043,,,,6556628
19-05-2021,Kerala,8591102,652401,2609555,3308153,,,,6571984
20-05-2021,Kerala,8599407,654929,2612645,3310191,,,,6579668
21-05-2021,Kerala,8614950,660600,2618484,3313439,,,,6594479
22-05-2021,Kerala,8644281,672240,2630270,3319195,,,,6623765
23-05-2021,Kerala,8650237,676883,2631157,3319591,,,,6629725
24-05-2021,Kerala,8703631,704765,2647984,3328015,,,,6683003
25-05-2021,Kerala,8759506,727882,2669935,3338590,,,,6738751
26-05-2021,Kerala,8789981,746447,2677877,3342371,,,,6769136
27-05-2021,Kerala,8904096,773634,2735438,3369608,,,,6881450
28-05-2021,Kerala,9056314,802643,2814700,3410877,,,,7031363
29-05-2021,Kerala,9215371,840758,2883246,3443138,,,,7170607
30-05-2021,Kerala,9241456,851898,2889453,3446016,,,,7190905
31-05-2021,Kerala,9413723,912167,2950616,3478379,,,,7345141
01-06-2021,Kerala,9583560,980600,3003561,3506031,,,,7494522
02-06-2021,Kerala,9689249,1024242,3033437,3523342,,,,7585560
03-06-2021,Kerala,9850288,1076446,3094628,3554988,,,,7730989
04-06-2021,Kerala,10026627,1135362,3159749,3588358,,,,7888884
05-06-2021,Kerala,10214963,1187696,3233961,3630418,,,,8057972
06-06-2021,Kerala,10270131,1222658,3244830,3636049,,,,8109567
07-06-2021,Kerala,10473049,1331763,3296604,3667093,,,,8302066
08-06-2021,Kerala,10692008,1460041,3342897,3693029,,,,8503125
09-06-2021,Kerala,10832105,1547412,3370510,3708731,,,,8634128
10-06-2021,Kerala,10983039,1620269,3414127,3730000,,,,8772285
11-06-2021,Kerala,11102819,1679209,3444621,3747048,,,,8879020
12-06-2021,Kerala,11181355,1721861,3458627,3754874,,,,8943648
13-06-2021,Kerala,11229829,1763606,3461556,3756065,,,,8989689
14-06-2021,Kerala,11422135,1874682,3494981,3775497,,,,9154064
15-06-2021,Kerala,11635416,1914838,3562118,3820770,,,,9307169
16-06-2021,Kerala,11746936,1946564,3590195,3839598,,,,9386066
17-06-2021,Kerala,11895426,2023869,3614621,3856369,,,,9504983
18-06-2021,Kerala,11996311,2082250,3629517,3867195,,,,9589345
19-06-2021,Kerala,12103202,2125774,3654958,3885514,,,,9676904
20-06-2021,Kerala,12161549,2139319,3671773,3897187,,,,9719116
21-06-2021,Kerala,12431202,2194277,3729702,3942402,,,,9878112
22-06-2021,Kerala,12668936,2250956,3778391,3980566,,,,10022247
23-06-2021,Kerala,12837481,2287145,3810337,4006771,,,,10116957
24-06-2021,Kerala,13061640,2335523,3863683,4046483,,,,10258975
16-03-2021,Ladakh,38926,8051,7966,19534,,,,35573
17-03-2021,Ladakh,40726,8180,8326,20516,,,,37044
18-03-2021,Ladakh,42033,8292,8512,20983,,,,37810
19-03-2021,Ladakh,43189,8348,8797,21272,,,,38440
20-03-2021,Ladakh,44169,8433,8937,21561,,,,38954
21-03-2021,Ladakh,44234,8440,8949,21593,,,,39005
22-03-2021,Ladakh,45135,8514,9091,21791,,,,39419
23-03-2021,Ladakh,45814,8557,9189,21997,,,,39767
24-03-2021,Ladakh,46093,8614,9250,22062,,,,39950
25-03-2021,Ladakh,46261,8607,9271,22108,,,,40010
26-03-2021,Ladakh,46461,8602,9300,22157,,,,40083
27-03-2021,Ladakh,46590,8651,9326,22194,,,,40195
28-03-2021,Ladakh,46589,8650,9326,22194,,,,40194
29-03-2021,Ladakh,46588,8649,9326,22194,,,,40193
30-03-2021,Ladakh,46645,8633,9331,22227,,,,40215
31-03-2021,Ladakh,46872,8702,9372,22273,,,,40372
01-04-2021,Ladakh,50362,8710,12630,22449,,,,43815
02-04-2021,Ladakh,55631,8716,17617,22686,,,,49045
03-04-2021,Ladakh,59338,8720,21042,22919,,,,52707
04-04-2021,Ladakh,62214,8723,23737,23092,,,,55578
05-04-2021,Ladakh,65089,8717,26406,23268,,,,58417
06-04-2021,Ladakh,66613,8713,27767,23357,,,,59863
07-04-2021,Ladakh,69391,8700,30118,23528,,,,62372
08-04-2021,Ladakh,71259,8674,31577,23627,,,,63903
09-04-2021,Ladakh,71960,8688,31903,23668,,,,64284
10-04-2021,Ladakh,72431,8679,32116,23699,,,,64518
11-04-2021,Ladakh,73397,8755,32642,23815,,,,65236
12-04-2021,Ladakh,74608,8803,33358,23930,,,,66115
13-04-2021,Ladakh,75319,8827,33693,23996,,,,66540
14-04-2021,Ladakh,75905,8816,33899,24074,,,,66813
15-04-2021,Ladakh,76470,8832,33972,24090,,,,66918
16-04-2021,Ladakh,76968,8834,34010,24137,,,,67005
17-04-2021,Ladakh,77819,8833,34095,24205,,,,67157
18-04-2021,Ladakh,77857,8831,34120,24210,,,,67185
19-04-2021,Ladakh,80595,8843,34247,24618,,,,67732
20-04-2021,Ladakh,84637,8886,34383,25662,,,,68954
21-04-2021,Ladakh,88412,8905,34539,26530,,,,69995
22-04-2021,Ladakh,91310,8932,34689,26958,,,,70599
23-04-2021,Ladakh,94316,8954,34836,27542,,,,71353
24-04-2021,Ladakh,96539,8947,34974,27773,,,,71714
25-04-2021,Ladakh,96956,8946,34980,27788,,,,71734
26-04-2021,Ladakh,100903,8950,35333,28453,,,,72754
27-04-2021,Ladakh,103717,11134,33430,28925,,,,73508
28-04-2021,Ladakh,105808,11256,33567,29126,,,,73967
29-04-2021,Ladakh,107405,11428,33689,29272,,,,74391
30-04-2021,Ladakh,108166,11474,33763,29332,,,,74571
01-05-2021,Ladakh,109442,11588,33864,29530,,,,74984
02-05-2021,Ladakh,109696,11573,33898,29593,,,,75065
03-05-2021,Ladakh,111070,12104,33989,29650,,,,75744
04-05-2021,Ladakh,112903,13530,34102,29689,,,,77322
05-05-2021,Ladakh,115161,15301,34254,29720,,,,79276
06-05-2021,Ladakh,117233,16876,34424,29760,,,,81061
07-05-2021,Ladakh,118299,17689,34487,29783,,,,81960
08-05-2021,Ladakh,119520,18634,34585,29812,,,,83032
09-05-2021,Ladakh,119661,18760,34594,29814,,,,83169
10-05-2021,Ladakh,120835,19460,34732,29900,,,,84093
11-05-2021,Ladakh,121529,19908,34805,29916,,,,84630
12-05-2021,Ladakh,122218,20457,34858,29924,,,,85240
13-05-2021,Ladakh,122800,20866,34889,29932,,,,85688
14-05-2021,Ladakh,122800,20866,34889,29932,,,,85688
15-05-2021,Ladakh,123897,21761,34938,29945,,,,86645
16-05-2021,Ladakh,123897,21761,34938,29945,,,,86645
17-05-2021,Ladakh,124756,22535,34991,29973,,,,87501
18-05-2021,Ladakh,125747,23423,35066,29997,,,,88488
19-05-2021,Ladakh,126974,24560,35129,30024,,,,89715
20-05-2021,Ladakh,128323,25810,35208,30044,,,,91064
21-05-2021,Ladakh,130332,27746,35268,30057,,,,93073
22-05-2021,Ladakh,132064,29383,35346,30073,,,,94805
23-05-2021,Ladakh,132137,29455,35347,30073,,,,94878
24-05-2021,Ladakh,134067,31318,35392,30088,,,,96802
25-05-2021,Ladakh,136294,33491,35434,30097,,,,99028
26-05-2021,Ladakh,138454,35588,35479,30111,,,,101188
27-05-2021,Ladakh,144321,41303,35594,30134,,,,107044
28-05-2021,Ladakh,150092,47034,35622,30138,,,,112814
29-05-2021,Ladakh,154115,51027,35647,30139,,,,116836
30-05-2021,Ladakh,154135,51047,35647,30139,,,,116856
31-05-2021,Ladakh,159496,56330,35706,30145,,,,122206
01-06-2021,Ladakh,164155,60939,35741,30150,,,,126864
02-06-2021,Ladakh,167934,64500,35875,30230,,,,130639
03-06-2021,Ladakh,171395,67862,35943,30254,,,,134095
04-06-2021,Ladakh,174899,71303,35996,30262,,,,137598
05-06-2021,Ladakh,177678,73994,36060,30275,,,,140366
06-06-2021,Ladakh,177681,73997,36060,30275,,,,140369
07-06-2021,Ladakh,180269,76488,36125,30293,,,,142943
08-06-2021,Ladakh,181714,77889,36150,30298,,,,144376
09-06-2021,Ladakh,183376,79486,36200,30305,,,,146030
10-06-2021,Ladakh,185674,81699,36259,30316,,,,148313
11-06-2021,Ladakh,189143,85078,36335,30328,,,,151780
12-06-2021,Ladakh,191063,86699,36588,30356,,,,153682
13-06-2021,Ladakh,191066,86702,36588,30356,,,,153685
14-06-2021,Ladakh,192431,87896,36731,30372,,,,155038
15-06-2021,Ladakh,193330,88773,36742,30373,,,,155927
16-06-2021,Ladakh,194501,89862,36786,30394,,,,157081
17-06-2021,Ladakh,196717,92015,36816,30404,,,,159275
18-06-2021,Ladakh,198155,93375,36873,30415,,,,160703
19-06-2021,Ladakh,199286,94435,36915,30419,,,,161809
20-06-2021,Ladakh,199286,94436,36914,30419,,,,161809
21-06-2021,Ladakh,200706,95810,36941,30426,,,,163217
22-06-2021,Ladakh,202329,97345,36973,30441,,,,164799
23-06-2021,Ladakh,203725,98676,37006,30445,,,,166167
24-06-2021,Ladakh,206992,99918,37145,30468,,,,167571
16-03-2021,Lakshadweep,3860,1059,1136,558,,,,2753
17-03-2021,Lakshadweep,4555,1069,1266,1085,,,,3420
18-03-2021,Lakshadweep,4904,1102,1395,1120,,,,3617
19-03-2021,Lakshadweep,5088,1139,1437,1159,,,,3735
20-03-2021,Lakshadweep,5387,1218,1497,1200,,,,3915
21-03-2021,Lakshadweep,5394,1220,1500,1200,,,,3920
22-03-2021,Lakshadweep,5521,1231,1543,1244,,,,4018
23-03-2021,Lakshadweep,5707,1260,1588,1297,,,,4145
24-03-2021,Lakshadweep,5826,1278,1620,1335,,,,4233
25-03-2021,Lakshadweep,5901,1289,1641,1347,,,,4277
26-03-2021,Lakshadweep,6053,1306,1675,1424,,,,4405
27-03-2021,Lakshadweep,6266,1315,1762,1524,,,,4601
28-03-2021,Lakshadweep,6333,1321,1795,1537,,,,4653
29-03-2021,Lakshadweep,6333,1321,1795,1537,,,,4653
30-03-2021,Lakshadweep,6552,1342,1866,1596,,,,4804
31-03-2021,Lakshadweep,6824,1370,1958,1706,,,,5034
01-04-2021,Lakshadweep,6953,1375,2024,1757,,,,5156
02-04-2021,Lakshadweep,7168,1380,2161,1824,,,,5365
03-04-2021,Lakshadweep,7399,1384,2310,1884,,,,5578
04-04-2021,Lakshadweep,7746,1396,2549,1967,,,,5912
05-04-2021,Lakshadweep,7993,1398,2706,2026,,,,6130
06-04-2021,Lakshadweep,8434,1398,2989,2114,,,,6501
07-04-2021,Lakshadweep,9484,1406,3611,2362,,,,7379
08-04-2021,Lakshadweep,10621,1418,4252,2641,,,,8312
09-04-2021,Lakshadweep,11527,1423,4794,2845,,,,9063
10-04-2021,Lakshadweep,12707,1428,5545,3176,,,,10150
11-04-2021,Lakshadweep,13223,1431,5895,3303,,,,10630
12-04-2021,Lakshadweep,13791,1436,6233,3469,,,,11139
13-04-2021,Lakshadweep,14389,1437,6608,3645,,,,11691
14-04-2021,Lakshadweep,15275,1439,7152,3878,,,,12470
15-04-2021,Lakshadweep,16053,1446,7638,4089,,,,13174
16-04-2021,Lakshadweep,16446,1463,7891,4174,,,,13529
17-04-2021,Lakshadweep,17145,1480,8315,4365,,,,14161
18-04-2021,Lakshadweep,18013,1510,8826,4596,,,,14933
19-04-2021,Lakshadweep,18439,1517,9065,4717,,,,15300
20-04-2021,Lakshadweep,18894,1537,9272,4799,,,,15609
21-04-2021,Lakshadweep,19750,1561,9594,5069,,,,16225
22-04-2021,Lakshadweep,20140,1568,9762,5192,,,,16523
23-04-2021,Lakshadweep,20544,1606,9935,5294,,,,16836
24-04-2021,Lakshadweep,21022,1624,10207,5421,,,,17253
25-04-2021,Lakshadweep,21363,1657,10366,5514,,,,17538
26-04-2021,Lakshadweep,21732,1683,10553,5606,,,,17843
27-04-2021,Lakshadweep,21928,2210,10128,5660,,,,17998
28-04-2021,Lakshadweep,22090,2222,10198,5700,,,,18120
29-04-2021,Lakshadweep,22410,2253,10342,5791,,,,18386
30-04-2021,Lakshadweep,23024,2305,10621,5962,,,,18888
01-05-2021,Lakshadweep,23444,2317,10770,6083,,,,19170
02-05-2021,Lakshadweep,23634,2332,10846,6141,,,,19319
03-05-2021,Lakshadweep,23908,2349,10915,6196,,,,19460
04-05-2021,Lakshadweep,24226,2370,11008,6288,,,,19666
05-05-2021,Lakshadweep,24766,2381,11133,6358,,,,19872
06-05-2021,Lakshadweep,25040,2399,11201,6386,,,,19986
07-05-2021,Lakshadweep,25396,2421,11269,6441,,,,20131
08-05-2021,Lakshadweep,25693,2424,11347,6469,,,,20240
09-05-2021,Lakshadweep,25943,2439,11382,6486,,,,20307
10-05-2021,Lakshadweep,26489,2444,11499,6570,,,,20513
11-05-2021,Lakshadweep,27372,2507,11709,6669,,,,20885
12-05-2021,Lakshadweep,28102,2547,11967,6834,,,,21348
13-05-2021,Lakshadweep,28229,2560,12015,6853,,,,21428
14-05-2021,Lakshadweep,28241,2560,12020,6860,,,,21440
15-05-2021,Lakshadweep,28258,2561,12028,6863,,,,21452
16-05-2021,Lakshadweep,28282,2577,12032,6863,,,,21472
17-05-2021,Lakshadweep,28390,2610,12076,6876,,,,21562
18-05-2021,Lakshadweep,28703,2676,12206,6984,,,,21866
19-05-2021,Lakshadweep,28943,2707,12339,7040,,,,22086
20-05-2021,Lakshadweep,29039,2724,12371,7072,,,,22167
21-05-2021,Lakshadweep,29532,3131,12407,7082,,,,22620
22-05-2021,Lakshadweep,30027,3581,12432,7093,,,,23106
23-05-2021,Lakshadweep,30955,4429,12489,7111,,,,24029
24-05-2021,Lakshadweep,31277,4636,12568,7140,,,,24344
25-05-2021,Lakshadweep,31319,4639,12588,7157,,,,24384
26-05-2021,Lakshadweep,31381,4666,12603,7177,,,,24446
27-05-2021,Lakshadweep,31425,4667,12627,7193,,,,24487
28-05-2021,Lakshadweep,31668,4883,12646,7198,,,,24727
29-05-2021,Lakshadweep,32136,5328,12664,7200,,,,25192
30-05-2021,Lakshadweep,32818,5987,12682,7201,,,,25870
31-05-2021,Lakshadweep,33636,6743,12735,7209,,,,26687
01-06-2021,Lakshadweep,34439,7504,12759,7226,,,,27489
02-06-2021,Lakshadweep,35167,8187,12797,7231,,,,28215
03-06-2021,Lakshadweep,36206,9174,12835,7242,,,,29251
04-06-2021,Lakshadweep,37342,10243,12878,7257,,,,30378
05-06-2021,Lakshadweep,38294,11121,12926,7275,,,,31322
06-06-2021,Lakshadweep,39071,11850,12954,7292,,,,32096
07-06-2021,Lakshadweep,40301,12985,13026,7307,,,,33318
08-06-2021,Lakshadweep,41455,14094,13061,7311,,,,34466
09-06-2021,Lakshadweep,42665,15179,13107,7346,,,,35632
10-06-2021,Lakshadweep,43565,16008,13155,7360,,,,36523
11-06-2021,Lakshadweep,44754,17128,13197,7376,,,,37701
12-06-2021,Lakshadweep,46083,18358,13243,7405,,,,39006
13-06-2021,Lakshadweep,46809,19049,13261,7412,,,,39722
14-06-2021,Lakshadweep,47816,20007,13291,7424,,,,40722
15-06-2021,Lakshadweep,48599,20686,13355,7445,,,,41486
16-06-2021,Lakshadweep,49904,21931,13394,7458,,,,42783
17-06-2021,Lakshadweep,50334,22311,13435,7464,,,,43210
18-06-2021,Lakshadweep,50773,22715,13454,7473,,,,43642
19-06-2021,Lakshadweep,51284,23139,13494,7493,,,,44126
20-06-2021,Lakshadweep,51507,23326,13519,7502,,,,44347
21-06-2021,Lakshadweep,52001,23765,13546,7515,,,,44826
22-06-2021,Lakshadweep,52459,24133,13578,7523,,,,45234
23-06-2021,Lakshadweep,52829,24410,13611,7545,,,,45566
24-06-2021,Lakshadweep,53150,24648,13627,7559,,,,45834
16-03-2021,Madhya Pradesh,1582017,398331,373401,432056,,,,1204532
17-03-2021,Madhya Pradesh,1894779,407270,422774,652295,,,,1483101
18-03-2021,Madhya Pradesh,2061982,413540,447586,768191,,,,1630087
19-03-2021,Madhya Pradesh,2082196,414458,451740,781852,,,,1648828
20-03-2021,Madhya Pradesh,2392868,422989,494086,1018544,,,,1936427
21-03-2021,Madhya Pradesh,2447794,424215,502264,1061107,,,,1988398
22-03-2021,Madhya Pradesh,2645609,429540,533437,1209891,,,,2173688
23-03-2021,Madhya Pradesh,2709136,431551,545753,1255799,,,,2233935
24-03-2021,Madhya Pradesh,2970294,438226,589494,1456047,,,,2484618
25-03-2021,Madhya Pradesh,3117583,443006,622026,1559525,,,,2625418
26-03-2021,Madhya Pradesh,3124997,443610,624379,1563617,,,,2632468
27-03-2021,Madhya Pradesh,3235027,448877,653105,1635099,,,,2737954
28-03-2021,Madhya Pradesh,3238287,449160,654545,1636405,,,,2740984
29-03-2021,Madhya Pradesh,3238300,449164,654547,1636410,,,,2740995
30-03-2021,Madhya Pradesh,3241368,449565,655682,1637760,,,,2743883
31-03-2021,Madhya Pradesh,3399721,455540,693199,1741223,,,,2890848
01-04-2021,Madhya Pradesh,3632471,460399,845804,1808047,,,,3115146
02-04-2021,Madhya Pradesh,3871927,465988,1009384,1870554,,,,3346831
03-04-2021,Madhya Pradesh,4043380,470963,1123203,1915724,,,,3510799
04-04-2021,Madhya Pradesh,4214544,476073,1239433,1959524,,,,3675945
05-04-2021,Madhya Pradesh,4376033,476197,1350040,2004216,,,,3831368
06-04-2021,Madhya Pradesh,4528210,476300,1455328,2044908,,,,3977455
07-04-2021,Madhya Pradesh,4902462,476486,1708971,2148521,,,,4334898
08-04-2021,Madhya Pradesh,5233168,476716,1927139,2244898,,,,4649680
09-04-2021,Madhya Pradesh,5361979,477375,2011710,2280256,,,,4770269
10-04-2021,Madhya Pradesh,5464925,477955,2082486,2305124,,,,4866494
11-04-2021,Madhya Pradesh,5837149,479095,2338481,2403607,,,,5222120
12-04-2021,Madhya Pradesh,6244525,482070,2600744,2519422,,,,5603174
13-04-2021,Madhya Pradesh,6558169,485449,2800466,2613078,,,,5899933
14-04-2021,Madhya Pradesh,6886916,487633,3004716,2708968,,,,6202259
15-04-2021,Madhya Pradesh,7057160,490688,3102203,2754687,,,,6348519
16-04-2021,Madhya Pradesh,7115632,493170,3130996,2767766,,,,6392872
17-04-2021,Madhya Pradesh,7304172,496740,3234248,2814989,,,,6546917
18-04-2021,Madhya Pradesh,7329797,497042,3247032,2821339,,,,6566352
19-04-2021,Madhya Pradesh,7506383,500896,3333898,2865226,,,,6700964
20-04-2021,Madhya Pradesh,7542919,502351,3349089,2873226,,,,6725608
21-04-2021,Madhya Pradesh,7566279,503041,3356730,2877127,,,,6737838
22-04-2021,Madhya Pradesh,7736804,506271,3429282,2913636,,,,6850130
23-04-2021,Madhya Pradesh,7774354,508281,3442531,2920209,,,,6871962
24-04-2021,Madhya Pradesh,7895385,510556,3488643,2942638,,,,6942784
25-04-2021,Madhya Pradesh,7908711,510777,3493070,2944993,,,,6949787
26-04-2021,Madhya Pradesh,7991537,512112,3517464,2957828,,,,6988355
27-04-2021,Madhya Pradesh,8010474,650948,3384279,2960310,,,,6996487
28-04-2021,Madhya Pradesh,8071696,652513,3398551,2968057,,,,7020074
29-04-2021,Madhya Pradesh,8077002,652563,3400116,2968943,,,,7022419
30-04-2021,Madhya Pradesh,8079538,652550,3400597,2969097,,,,7023042
01-05-2021,Madhya Pradesh,8147203,654010,3413415,2975063,,,,7043286
02-05-2021,Madhya Pradesh,8154964,651581,3417853,2975823,,,,7046019
03-05-2021,Madhya Pradesh,8228404,653119,3429887,2981817,,,,7065585
04-05-2021,Madhya Pradesh,8249533,653808,3433481,2983477,,,,7071530
05-05-2021,Madhya Pradesh,8380264,661144,3454317,2994501,,,,7110730
06-05-2021,Madhya Pradesh,8490151,668970,3472514,3003762,,,,7146019
07-05-2021,Madhya Pradesh,8508272,670186,3475888,3004907,,,,7151755
08-05-2021,Madhya Pradesh,8634077,692367,3495071,3013415,,,,7201637
09-05-2021,Madhya Pradesh,8636212,692526,3495550,3013602,,,,7202462
10-05-2021,Madhya Pradesh,8765843,715107,3513442,3022387,,,,7251862
11-05-2021,Madhya Pradesh,8785173,715901,3516578,3023573,,,,7256989
12-05-2021,Madhya Pradesh,8923121,761961,3538685,3033703,,,,7335386
13-05-2021,Madhya Pradesh,9034702,808855,3553133,3039835,,,,7402933
14-05-2021,Madhya Pradesh,9037120,808980,3553560,3040029,,,,7403682
15-05-2021,Madhya Pradesh,9163547,856676,3569075,3045897,,,,7472841
16-05-2021,Madhya Pradesh,9164574,856723,3569341,3046027,,,,7473284
17-05-2021,Madhya Pradesh,9258467,905049,3589017,3052047,,,,7547349
18-05-2021,Madhya Pradesh,9264811,906040,3591334,3052630,,,,7551243
19-05-2021,Madhya Pradesh,9405542,1011673,3608608,3057352,,,,7678925
20-05-2021,Madhya Pradesh,9534535,1112802,3623283,3061551,,,,7798981
21-05-2021,Madhya Pradesh,9633945,1189139,3635454,3064693,,,,7890673
22-05-2021,Madhya Pradesh,9780866,1302409,3654326,3069565,,,,8027748
23-05-2021,Madhya Pradesh,9951903,1468519,3656904,3070161,,,,8197098
24-05-2021,Madhya Pradesh,10169757,1651608,3678539,3075523,,,,8407255
25-05-2021,Madhya Pradesh,10176369,1655295,3680069,3075938,,,,8412889
26-05-2021,Madhya Pradesh,10178601,1656959,3680406,3076071,,,,8415023
27-05-2021,Madhya Pradesh,10408718,1848478,3704381,3082018,,,,8636592
28-05-2021,Madhya Pradesh,10632295,2048274,3719010,3085479,,,,8854635
29-05-2021,Madhya Pradesh,10882668,2267532,3738666,3090152,,,,9098436
30-05-2021,Madhya Pradesh,10899947,2282765,3740093,3090534,,,,9115504
31-05-2021,Madhya Pradesh,11170319,2510712,3767425,3097559,,,,9378050
01-06-2021,Madhya Pradesh,11188263,2522465,3771223,3098629,,,,9394692
02-06-2021,Madhya Pradesh,11481427,2773930,3798205,3105346,,,,9680087
03-06-2021,Madhya Pradesh,11853494,3105447,3822099,3110724,,,,10041226
04-06-2021,Madhya Pradesh,12217489,3435106,3844631,3116128,,,,10399189
05-06-2021,Madhya Pradesh,12629509,3791272,3878060,3123898,,,,10796888
06-06-2021,Madhya Pradesh,12759138,3904372,3889127,3126674,,,,10923948
07-06-2021,Madhya Pradesh,13151267,4231769,3926736,3136632,,,,11299196
08-06-2021,Madhya Pradesh,13217372,4283343,3935366,3138931,,,,11361743
09-06-2021,Madhya Pradesh,13584232,4583887,3971202,3148746,,,,11708227
10-06-2021,Madhya Pradesh,13769115,4725254,3992813,3154789,,,,11877371
11-06-2021,Madhya Pradesh,13796834,4741722,3996910,3155973,,,,11899138
12-06-2021,Madhya Pradesh,13897841,4788333,4004790,3158349,,,,11956103
13-06-2021,Madhya Pradesh,13943751,4817622,4010301,3160214,,,,11992799
14-06-2021,Madhya Pradesh,14443636,5198064,4069993,3179379,,,,12452440
15-06-2021,Madhya Pradesh,14495499,5234145,4077085,3181663,,,,12497943
16-06-2021,Madhya Pradesh,14840484,5493924,4120418,3195728,,,,12815277
17-06-2021,Madhya Pradesh,14975268,5587872,4138587,3202450,,,,12934175
18-06-2021,Madhya Pradesh,14994833,5600087,4141656,3203555,,,,12950585
19-06-2021,Madhya Pradesh,15018743,5610083,4144143,3204602,,,,12964134
20-06-2021,Madhya Pradesh,15019817,5610889,4144227,3204616,,,,12965037
21-06-2021,Madhya Pradesh,16733198,6894606,4399399,3294204,,,,14594389
22-06-2021,Madhya Pradesh,16803173,6943827,4411869,3298663,,,,14660585
23-06-2021,Madhya Pradesh,17978981,7790914,4607574,3370465,,,,15775623
24-06-2021,Madhya Pradesh,18769872,8342482,4743089,3420102,,,,16512594
16-03-2021,Maharashtra,2785457,719923,798647,797374,,,,2316957
17-03-2021,Maharashtra,3729963,740032,972732,1515883,,,,3229723
18-03-2021,Maharashtra,3933965,754715,1018705,1634460,,,,3408977
19-03-2021,Maharashtra,4178758,773937,1076650,1771002,,,,3622709
20-03-2021,Maharashtra,4404844,794595,1135547,1884634,,,,3815920
21-03-2021,Maharashtra,4440954,799405,1145864,1900882,,,,3847301
22-03-2021,Maharashtra,4682864,816090,1200795,2042860,,,,4060919
23-03-2021,Maharashtra,4911726,836965,1259159,2165039,,,,4262362
24-03-2021,Maharashtra,5164217,858387,1322357,2312836,,,,4494807
25-03-2021,Maharashtra,5386656,879850,1380823,2440041,,,,4701964
26-03-2021,Maharashtra,5648523,906832,1452755,2583251,,,,4944116
27-03-2021,Maharashtra,5881573,934213,1525615,2702623,,,,5163746
28-03-2021,Maharashtra,5902265,936994,1532670,2712751,,,,5183711
29-03-2021,Maharashtra,5956802,942490,1550684,2741130,,,,5235606
30-03-2021,Maharashtra,6156334,959925,1606988,2853643,,,,5421876
31-03-2021,Maharashtra,6370261,980249,1669118,2967853,,,,5618555
01-04-2021,Maharashtra,6596079,995152,1799984,3037257,,,,5833743
02-04-2021,Maharashtra,6960404,1020675,2018888,3141695,,,,6182629
03-04-2021,Maharashtra,7288572,1042761,2211668,3240222,,,,6496037
04-04-2021,Maharashtra,7647126,1061755,2432945,3345300,,,,6841397
05-04-2021,Maharashtra,7989165,1062609,2631984,3471012,,,,7167016
06-04-2021,Maharashtra,8257040,1063410,2793603,3562808,,,,7421245
07-04-2021,Maharashtra,8856664,1065562,3158551,3762597,,,,7988151
08-04-2021,Maharashtra,9337790,1068349,3448181,3916304,,,,8434286
09-04-2021,Maharashtra,9632399,1073531,3623531,4003754,,,,8702273
10-04-2021,Maharashtra,9923253,1080036,3802776,4085605,,,,8969876
11-04-2021,Maharashtra,10191896,1084033,3967351,4167310,,,,9220161
12-04-2021,Maharashtra,10528419,1093721,4158340,4266277,,,,9519815
13-04-2021,Maharashtra,10753451,1100154,4289501,4326428,,,,9717561
14-04-2021,Maharashtra,11124975,1109720,4491037,4436667,,,,10038913
15-04-2021,Maharashtra,11511023,1123832,4689618,4541385,,,,10356338
16-04-2021,Maharashtra,11885830,1141345,4879200,4636849,,,,10658902
17-04-2021,Maharashtra,12138971,1155609,4999875,4692813,,,,10849828
18-04-2021,Maharashtra,12273763,1161937,5069990,4725927,,,,10959390
19-04-2021,Maharashtra,12649330,1179466,5240194,4818832,,,,11240031
20-04-2021,Maharashtra,12944719,1194154,5366572,4884992,,,,11447258
21-04-2021,Maharashtra,13279389,1208118,5515913,4966246,,,,11691829
22-04-2021,Maharashtra,13673833,1225262,5677988,5061333,,,,11966150
23-04-2021,Maharashtra,13999938,1244034,5806225,5133050,,,,12184886
